"annotation","Module","identifier","InChiKey","ion_species","mz","ret_time","ESI_mode","Formula","Super.class","Main.class","Sub.class","Pubchem_CID_final","Pubchem_CID_direct","Pubchem_CID_refmet","CID_agree","CHEBI_ID","HMDB_ID","LM_ID","KEGG_ID","INCHI_KEY","REFMET_ID"
"Cer d32:1","black","2.14_544.45_2.15_568.49_2.14_508.48","PIVKMDKERPTVGC-UHFFFAOYSA-N","[M+Cl]-_[M+Hac-H]-_[M-H]-",NA,2.143,"ESI neg","C32H63NO3","Sphingolipids","Ceramides","Cer",73106923,73106923,NA,"only_direct","","","","","","RM0122205"
"Cer d33:1","black","2.28_558.46","QBFXCLDNTKBAPQ-STSAHMJASA-N","[M+Cl]-",558.4647,2.276,"ESI neg","C33H65NO3","Sphingolipids","Ceramides","Cer",52931112,52931112,NA,"only_direct","","","","","","RM0134201"
"Cer d34:1","black","2.40_572.48_2.41_582.51_2.40_596.53","YDNKGFDKKRUKPY-TURZORIXSA-N","[M+Cl]- _[M+FA-H]-_[M+Hac-H]- ",NA,2.40433333333333,"ESI neg","C34H67NO3","Sphingolipids","Ceramides","Cer",5283564,5283564,NA,"only_direct","","","","","","RM0134194"
"Cer d34:2","black","2.18_570.47_2.18_594.51_2.18_534.49","XXWRZIYYFPIQHE-UHFFFAOYSA-N","[M+Cl]-_[M+Hac-H]-_[M-H]-",NA,2.18,"ESI neg","C34H65NO3","Sphingolipids","Ceramides","Cer",75963948,75963948,NA,"only_direct","","","","","","RM0134206"
"Cer d34:2 Isomer A","black","1.97_536.50","GMWIWVUTMCBDSP-UHFFFAOYSA-N","[M+H]+",536.5039,1.965,"ESI pos","C34H65NO3","Sphingolipids","Ceramides","Cer",180282,180282,NA,"only_direct","","","","","","RM0134206"
"Cer d34:2 Isomer B","black","2.11_536.50","BCZGPUAIZZZGTF-HSCORPAWSA-N","[M+H]+",536.503,2.114,"ESI pos","C34H65NO3","Sphingolipids","Ceramides","Cer",138125108,138125108,NA,"only_direct","","","","","","RM0134206"
"PC O-37:0","blue","2.81_790.68","LBZZFYDZWFULSD-UHFFFAOYSA-N","[M+H]+",790.6793,2.807,"ESI pos","C45H92NO7P","Glycerophospholipids","Glycerophosphocholines","O-PC",164322236,164322236,NA,"only_direct","","","","","","RM0013945"
"GlcCerd14:14E/20:02OH","blue","2.13_750.53","YYILQTLJZBSOCA-IMJQGFQJSA-N","[M+Cl]-",750.5283,2.135,"ESI neg","","Sphingolipids","Glycosphingolipids","HexCer",70699246,70699246,NA,"only_direct","-","-","-","-","-","-"
"SM 20:3;2O/24:0","blue","2.81_839.70","CJWKFVAVABUHAE-JNWHQOFSSA-N","[M+H]+",839.7003,2.806,"ESI pos","C49H95N2O6P","Sphingolipids","Phosphosphingolipids","SM",138135715,138135715,NA,"only_direct","-","-","-","-","-","-"
"SM 24:1","blue","2.79_813.69_2.79_835.67","WKZHECFHXLTOLJ-QYKFWSDSSA-N","[M+H]+_[M+Na]+",NA,2.7935,"ESI pos","C47H93N2O6P","Sphingolipids","Phosphosphingolipids","SM",44260126,44260126,NA,"only_direct","","","","","","RM0134116"
"SM 34:0;3O","blue","1.97_721.59","AEPRVLRKSXEZQJ-UHFFFAOYSA-N","[M+H]+",721.587,1.965,"ESI pos","C39H81N2O7P","Sphingolipids","Phosphosphingolipids","SM",164191716,164191716,NA,"only_direct","","","","","","RM0028516"
"SM 42:0;3O","blue","2.93_833.71","QOANPDGQAVGULE-UHFFFAOYSA-N","[M+H]+",833.7084,2.934,"ESI pos","C47H97N2O7P","Sphingolipids","Phosphosphingolipids","SM",164394683,164394683,NA,"only_direct","","","","","","RM0122809"
"SM 42:1;3O","blue","2.68_831.69","PGBVCNBXYRUHSM-FCQUAONHSA-N","[M+H]+",831.6942,2.681,"ESI pos","C47H95N2O7P","Sphingolipids","Phosphosphingolipids","SM",164377505,164377505,NA,"only_direct","","","","","","RM0134138"
"SM 42:2;3O","blue","2.73_829.68","KJIZRYXAVOKYMQ-CTRILWCZSA-N","[M+H]+",829.6784,2.729,"ESI pos","C47H93N2O7P","Sphingolipids","Phosphosphingolipids","SM",164312613,164312613,NA,"only_direct","","","","","","RM0120596"
"SM 44:1;2O","blue","3.26_865.71","ICUBQMRRQYLOPA-ZCXUNETKSA-N","[M+Na]+",865.7098,3.264,"ESI pos","C49H99N2O6P","Sphingolipids","Phosphosphingolipids","SM",164283097,164283097,NA,"only_direct","","","","","","RM0134159"
"SM d34:0","blue","2.16_705.59_2.16_727.57","QHZIGNLCLJPLCU-QPPIDDCLSA-N","[M+H]+_[M+Na]+",NA,2.161,"ESI pos","C39H81N2O6P","Sphingolipids","Phosphosphingolipids","SM",9939965,9939965,NA,"only_direct","","","","","","RM0134096"
"SM d38:0 Isomer B","blue","2.66_761.65","WZSCABKLRFKQRR-UHFFFAOYSA-N","[M+H]+",761.6534,2.657,"ESI pos","C43H89N2O6P","Sphingolipids","Phosphosphingolipids","SM",133039061,133039061,NA,"only_direct","","","","","","RM0134102"
"SM d40:0 Isomer A","blue","2.81_789.68","FONAXCRWZQFJHY-JCGOJSMZSA-N","[M+H]+",789.6767,2.809,"ESI pos","C45H93N2O6P","Sphingolipids","Phosphosphingolipids","SM",44260132,44260132,NA,"only_direct","","","","","","RM0134105"
"SM d40:0 Isomer B","blue","2.90_789.68","GBLHWUFOHMAULL-UHFFFAOYSA-N","[M+H]+",789.6841,2.895,"ESI pos","C45H93N2O6P","Sphingolipids","Phosphosphingolipids","SM",138158223,138158223,NA,"only_direct","","","","","","RM0134105"
"SM d40:1","blue","2.81_787.67_2.81_809.65","FJJANLYCZUNFSE-QVMKKYBKSA-N","[M+H]+_[M+Na]+",NA,2.8095,"ESI pos","C45H91N2O6P","Sphingolipids","Phosphosphingolipids","SM",13832233,13832233,NA,"only_direct","","","","","","RM0134155"
"SM d40:1 Isomer B","blue","2.88_845.67","FJJANLYCZUNFSE-UHFFFAOYSA-N","[M+Hac-H]-",845.6747,2.877,"ESI neg","C45H91N2O6P","Sphingolipids","Phosphosphingolipids","SM",74978583,74978583,NA,"only_direct","","","","","","RM0134155"
"SM d40:1 Isomer B","blue","2.88_845.67","FJJANLYCZUNFSE-UHFFFAOYSA-N","[M+Hac-H]-",845.6747,2.877,"ESI neg","C45H91N2O6P","Sphingolipids","Phosphosphingolipids","SM",74978583,74978583,NA,"only_direct","","","","","","RM0134155"
"SM d42:0","blue","3.04_817.71_3.04_839.69","SMJLGESYPKPRNU-CRCOQUFZSA-N","[M+H]+_[M+Na]+",NA,3.04,"ESI pos","C47H97N2O6P","Sphingolipids","Phosphosphingolipids","SM",44260134,44260134,NA,"only_direct","","","","","","RM0134108"
"SM d42:1","blue","3.10_873.71","QEDPUVGSSDPBMD-XTAIVQBESA-N","[M+Hac-H]- ",873.7063,3.102,"ESI neg","C47H95N2O6P","Sphingolipids","Phosphosphingolipids","SM",44260127,44260127,NA,"only_direct","","","","","","RM0134156"
"SM d42:2 Isomer B","blue","2.86_871.69","DACOGJMBYLZYDH-GXJPFUDISA-N","[M+Hac-H]-",871.6909,2.858,"ESI neg","C47H93N2O6P","Sphingolipids","Phosphosphingolipids","SM",52931217,52931217,NA,"only_direct","","","","","","RM0122625"
"SM d42:3","blue","2.58_811.67_2.58_833.65","TXFLWJQVQCDUDZ-BRUGZULGSA-N","[M+H]+_[M+Na]+",NA,2.577,"ESI pos","C47H91N2O6P","Sphingolipids","Phosphosphingolipids","SM",52931215,52931215,NA,"only_direct","","","","","","RM0134109"
"SM d43:1","blue","3.21_887.72","ULARPQXVRGTQDC-UHFFFAOYSA-N","[M+Hac-H]-",887.7213,3.209,"ESI neg","C48H97N2O6P","Sphingolipids","Phosphosphingolipids","SM",NA,NA,NA,"both_missing","","","","","","RM0122662"
"SM d43:1 Isomer B","blue","3.15_829.72","LXMARZYBSFYVSY-KUQVZNNZSA-N","[M+H]+",829.7162,3.15,"ESI pos","C48H97N2O6P","Sphingolipids","Phosphosphingolipids","SM",52931225,52931225,NA,"only_direct","","","","","","RM0122662"
"SM d44:1","blue","3.26_843.73","LLVAOJYISMLSAW-MEIHLTSWSA-N","[M+H]+",843.7305,3.26,"ESI pos","C49H99N2O6P","Sphingolipids","Phosphosphingolipids","SM",138203351,138203351,NA,"only_direct","","","","","","RM0134159"
"SM d44:2 isomer A","blue","3.03_841.72_3.02_863.70","YXEXWUZHFGYOHJ-UOJCCMJYSA-N","[M+H]+_[M+Na]+",NA,3.0255,"ESI pos","","Sphingolipids","Phosphosphingolipids","SM",44260128,44260128,NA,"only_direct","-","-","-","-","-","-"
"SM d44:2 isomer A","blue","3.03_841.72_3.02_863.70","YXEXWUZHFGYOHJ-UOJCCMJYSA-N","[M+H]+_[M+Na]+",NA,3.0255,"ESI pos","","Sphingolipids","Phosphosphingolipids","SM",44260128,44260128,NA,"only_direct","-","-","-","-","-","-"
"PC 33:2","brown","2.04_744.55","SBNDHGBVMZMSNL-UESLNCBNSA-N","[M+H]+",744.5548,2.037,"ESI pos","C41H78NO8P","Glycerophospholipids","Glycerophosphocholines","PC",52922715,52922715,NA,"only_direct","","","","","","RM0000568"
"PC 34:4","brown","1.88_754.54","YWDDIWXKFJEMKF-JTZVLWBESA-N","[M+H]+",754.5376,1.875,"ESI pos","C42H76NO8P","Glycerophospholipids","Glycerophosphocholines","PC",52922891,52922891,NA,"only_direct","","","","","","RM0090131"
"PC 35:2 Isomer B","brown","2.26_772.59","MJWAVUYQCBFFHQ-WESJWMGVSA-N","[M+H]+",772.5853,2.262,"ESI pos","C43H82NO8P","Glycerophospholipids","Glycerophosphocholines","PC",52922721,52922721,NA,"only_direct","","","","","","RM0134879"
"PC 35:3","brown","2.08_770.57","AYXGHIQPMDYMJC-AHMBLZLYSA-N","[M+H]+",770.5688,2.076,"ESI pos","C43H80NO8P","Glycerophospholipids","Glycerophosphocholines","PC",52924614,52924614,NA,"only_direct","","","","","","RM0134894"
"PC 35:4","brown","2.18_826.56","LYNZMLHNPYEREG-ZHMZGHMTSA-N","[M+Hac-H]-",826.5612,2.177,"ESI neg","C43H78NO8P","Glycerophospholipids","Glycerophosphocholines","PC",52922895,52922895,NA,"only_direct","","","","","","RM0000877"
"PC 36:4 Isomer B","brown","2.17_840.58","IIZPXYDJLKNOIY-JXPKJXOSSA-N","[M+Hac-H]-",840.5757,2.171,"ESI neg","C44H80NO8P","Glycerophospholipids","Glycerophosphocholines","PC",10747814,10747814,NA,"only_direct","","","","","","RM0010761"
"PC 36:4 Isomer B","brown","2.17_840.58","IIZPXYDJLKNOIY-JXPKJXOSSA-N","[M+Hac-H]-",840.5757,2.171,"ESI neg","C44H80NO8P","Glycerophospholipids","Glycerophosphocholines","PC",10747814,10747814,NA,"only_direct","","","","","","RM0010761"
"PC 36:4 Isomer C","brown","2.11_782.57_2.11_804.55","IIZPXYDJLKNOIY-JXPKJXOSSA-N","[M+H]+_[M+Na]+",NA,2.1085,"ESI pos","C44H80NO8P","Glycerophospholipids","Glycerophosphocholines","PC",10747814,10747814,NA,"only_direct","","","","","","RM0010761"
"PC 36:4 Isomer C","brown","2.11_782.57_2.11_804.55","IIZPXYDJLKNOIY-JXPKJXOSSA-N","[M+H]+_[M+Na]+",NA,2.1085,"ESI pos","C44H80NO8P","Glycerophospholipids","Glycerophosphocholines","PC",10747814,10747814,NA,"only_direct","","","","","","RM0010761"
"PC 37:3","brown","2.32_798.60","OOYQEEUUQRMQKL-JUUDQZDJSA-N","[M+H]+",798.6014,2.32,"ESI pos","C45H84NO8P","Glycerophospholipids","Glycerophosphocholines","PC",52922851,52922851,NA,"only_direct","","","","","","RM0171091"
"PC 37:4","brown","2.22_796.58","QRPUCJXFPYFTMB-FBFLODOBSA-N","[M+H]+",796.5847,2.219,"ESI pos","C45H82NO8P","Glycerophospholipids","Glycerophosphocholines","PC",52922853,52922853,NA,"only_direct","","","","","","RM0134865"
"PC 38:4 Isomer B","brown","2.42_868.61","HUAVKOMRGUBYMK-UHFFFAOYSA-N","[M+Hac-H]-",868.6075,2.419,"ESI neg","C46H84NO8P","Glycerophospholipids","Glycerophosphocholines","PC",NA,NA,NA,"both_missing","","","","","","RM0010755"
"PC 38:4 Isomer C","brown","2.35_810.60_2.35_832.58","PSVRFUPOQYJOOZ-QNPWAGBNSA-N","[M+H]+_[M+Na]+",NA,2.346,"ESI pos","C46H84NO8P","Glycerophospholipids","Glycerophosphocholines","PC",16219824,16219824,NA,"only_direct","","","","","","RM0010755"
"PC 38:5 Isomer A","brown","2.12_808.59","SUACBSWYGWBPFC-GPUJSUHJSA-N","[M+H]+",808.5853,2.122,"ESI pos","C46H82NO8P","Glycerophospholipids","Glycerophosphocholines","PC",52923235,52923235,NA,"only_direct","","","","","","RM0134823"
"PC 38:6 Isomer A","brown","1.97_806.57","PLZBTDKJYHXIEW-DZUXOTHRSA-N","[M+H]+",806.5698,1.965,"ESI pos","C46H80NO8P","Glycerophospholipids","Glycerophosphocholines","PC",52923295,52923295,NA,"only_direct","","","","","","RM0097851"
"PC 40:4","brown","2.52_838.63","FHUAYOMRHXZKHT-JUGJLYODSA-N","[M+H]+",838.6324,2.515,"ESI pos","C48H88NO8P","Glycerophospholipids","Glycerophosphocholines","PC",53479183,53479183,NA,"only_direct","","","","","","RM0134847"
"PC 40:5 Isomer A","brown","2.34_836.62","IJTJDJOOHZVSAC-NDRUHXFFSA-N","[M+H]+",836.6159,2.342,"ESI pos","C48H86NO8P","Glycerophospholipids","Glycerophosphocholines","PC",53479083,53479083,NA,"only_direct","","","","","","RM0134822"
"PC 40:5 Isomer B","brown","2.44_836.62","SFESOYFQZQJCOY-FXYWPAEZSA-N","[M+H]+",836.6166,2.442,"ESI pos","C48H86NO8P","Glycerophospholipids","Glycerophosphocholines","PC",52923365,52923365,NA,"only_direct","","","","","","RM0134822"
"PI 18:0_20:4","brown","2.09_887.56","KRTOMQDUKGRFDJ-UHFFFAOYSA-N","[M+H]+",887.5639,2.093,"ESI pos","C47H83O13P","Glycerophospholipids","Glycerophosphoinositols","PI",72280035,72280035,NA,"only_direct","","","","","","RM0134537"
"PI 36:4","brown","1.84_857.52","WPXXYOUAQYYXER-BFRKKRKTSA-N","[M-H]-",857.5186,1.842,"ESI neg","C45H79O13P","Glycerophospholipids","Glycerophosphoinositols","PI",NA,NA,NA,"both_missing","","","","","","RM0134522"
"PI 38:4","brown","2.06_885.55","KRTOMQDUKGRFDJ-MWZLTEOLSA-N","[M-H]- ",885.5482,2.055,"ESI neg","C47H83O13P","Glycerophospholipids","Glycerophosphoinositols","PI",NA,NA,NA,"both_missing","","","","","","RM0134523"
"SM 12:1;2O/32:8","brown","1.98_827.60","OQIWXZOPYYGVRQ-KBKSMPMVSA-N","[M+H]+",827.5986,1.978,"ESI pos","C49H83N2O6P","Sphingolipids","Phosphosphingolipids","SM",164369355,164369355,NA,"only_direct","-","-","-","-","-","-"
"LPC 32:0","cyan","2.48_742.57","UNCMQZOMRTWPLO-UHFFFAOYSA-N","[M+Na]+",742.5716,2.48,"ESI pos","C40H82NO7P","Glycerophospholipids","Glycerophosphocholines","LPC",164437406,164437406,NA,"only_direct","","","","","","RM0007244"
"PC 32:0","cyan","2.30_734.57_2.33_756.55","KILNVBDSWZSGLL-KXQOOQHDSA-N","[M+H]+_[M+Na]+",NA,2.3115,"ESI pos","C40H80NO8P","Glycerophospholipids","Glycerophosphocholines","PC",452110,452110,NA,"only_direct","","","","","","RM0134841"
"PC O-30:0","cyan","2.23_692.56","QWXGXDFYLSOKRF-UHFFFAOYSA-N","[M+H]+",692.5581,2.229,"ESI pos","C38H78NO7P","Glycerophospholipids","Glycerophosphocholines","O-PC",164399195,164399195,NA,"only_direct","","","","","","RM0134877"
"PC O-32:0","cyan","2.48_720.59","SVWBXNAUENUONE-LDLOPFEMSA-N","[M+H]+",720.5922,2.475,"ESI pos","C40H82NO7P","Glycerophospholipids","Glycerophosphocholines","O-PC",173570,173570,NA,"only_direct","","","","","","RM0090011"
"PC O-33:0","cyan","2.59_734.60","LXEGSWFXNDUGIV-UHFFFAOYSA-N","[M+H]+",734.604,2.59,"ESI pos","C41H84NO7P","Glycerophospholipids","Glycerophosphocholines","O-PC",164333045,164333045,NA,"only_direct","","","","","","RM0052450"
"PC O-34:0","cyan","2.72_748.62","ZKTXOJMFIAILJG-VQJSHJPSSA-N","[M+H]+",748.6216,2.72,"ESI pos","C42H86NO7P","Glycerophospholipids","Glycerophosphocholines","O-PC",24779361,24779361,NA,"only_direct","","","","","","RM0134858"
"GlcCer d34:1","cyan","2.06_844.62_2.06_884.61",NA,"[M+H-H2O]+_[M+Na]+",NA,2.0635,"ESI pos","C40H77NO8","Sphingolipids","Glycosphingolipids","HexCer",NA,NA,NA,"both_missing","","","","","","RM0008613"
"C16 Lactosyl Ceramide (d18:1/16:0)","cyan","2.07_862.63","HLIJNIKSBCIDGO-UHFFFAOYSA-N","[M+H]+",862.6264,2.066,"ESI pos","","Sphingolipids","Neutral_glycosphingolipids","LacCer",53431595,53431595,53477895,"disagree","84758","HMDB0006750","LMSP0501AB03","-","HLIJNIKSBCIDGO-UHFFFAOYSA-N","-"
"lactosylceramide d18:1/24:1 15Z","cyan","2.77_972.73_2.77_994.72","MKOKWBRPIBQYJJ-LWQSSKHKSA-N","[M+H]+_[M+Na]+",NA,2.7695,"ESI pos","","Sphingolipids","Neutral_glycosphingolipids","LacCer",20057309,20057309,NA,"only_direct","-","-","-","-","-","-"
"SM 32:0;3O","cyan","2.23_693.56","NBQFCWGLZDZGQW-UHFFFAOYSA-N","[M+H]+",693.557,2.227,"ESI pos","C37H77N2O7P","Sphingolipids","Phosphosphingolipids","SM",164348457,164348457,NA,"only_direct","","","","","","RM0060322"
"OxPC 36:3+1O","darkgreen","1.80_858.58","REZDVJZZVDNTBB-HHZFRUDZSA-N","[M+Hac-H]-",858.5842,1.804,"ESI neg","C44H82NO8P","Glycerophospholipids","Glycerophosphocholines","PC",138251404,138251404,NA,"only_direct","","","","","","RM0010754"
"PC 18:0_18:1","darkgreen","2.65_822.58","ATHVAWFAEPLPPQ-UHFFFAOYSA-N","[M+Cl]-",822.5786,2.654,"ESI neg","C44H86NO8P","Glycerophospholipids","Glycerophosphocholines","PC",3033933,3033933,NA,"only_direct","","","","","","RM0171088"
"PC 24:0","darkgreen","1.45_622.44","IJFVSSZAOYLHEE-UHFFFAOYSA-N","[M+H]+",622.4443,1.454,"ESI pos","C32H64NO8P","Glycerophospholipids","Glycerophosphocholines","PC",65262,65262,NA,"only_direct","","","","","","RM0134876"
"PC 34:1","darkgreen","2.41_818.59","WTJKGGKOPKCXLL-MRCUWXFGSA-N","[M+Hac-H]-",818.5913,2.41,"ESI neg","C42H82NO8P","Glycerophospholipids","Glycerophosphocholines","PC",6436017,6436017,NA,"only_direct","","","","","","RM0010728"
"PC 36:1","darkgreen","2.65_846.62","ATHVAWFAEPLPPQ-VRDBWYNSSA-N","[M+Hac-H]- ",846.6245,2.652,"ESI neg","C44H86NO8P","Glycerophospholipids","Glycerophosphocholines","PC",24778825,24778825,NA,"only_direct","","","","","","RM0097853"
"PI 32:1","darkgreen","1.69_807.51","RNXWIPLNUTUDRT-YHSIYXGOSA-N","[M-H]-",807.5093,1.687,"ESI neg","C41H77O13P","Glycerophospholipids","Glycerophosphoinositols","PI",NA,NA,NA,"both_missing","","","","","","RM0134529"
"SM 34:2;3O","darkgreen","1.77_717.55","JMOURNFROFBOII-IDDCRRPISA-N","[M+H]+",717.5543,1.77,"ESI pos","C39H77N2O7P","Sphingolipids","Phosphosphingolipids","SM",164301220,164301220,NA,"only_direct","","","","","","RM0008931"
"SM 42:7;3O","darkgreen","1.72_819.59","IINZWIWNQHXSFK-SPRSFGERSA-N","[M+H]+",819.5942,1.718,"ESI pos","C47H83N2O7P","Sphingolipids","Phosphosphingolipids","SM",164286080,164286080,NA,"only_direct","","","","","","RM0186419"
"SM d33:1","darkgrey","1.96_689.56_1.95_711.54","LQINJRUGTUOHGS-YPDYIYJKSA-N","[M+H]+_[M+Na]+",NA,1.957,"ESI pos","C38H77N2O6P","Sphingolipids","Phosphosphingolipids","SM",52931139,52931139,NA,"only_direct","","","","","","RM0134154"
"SM d35:1","darkgrey","2.19_717.59","LDJGVBCPOLCJJN-DQRAZIAOSA-N","[M+H]+",717.5902,2.195,"ESI pos","C40H81N2O6P","Sphingolipids","Phosphosphingolipids","SM",138200616,138200616,NA,"only_direct","","","","","","RM0059990"
"SM d35:2","darkgrey","1.98_715.58","HVVDGWWLGYBUAB-JYDNXXCZSA-N","[M+H]+",715.5751,1.977,"ESI pos","C40H79N2O6P","Sphingolipids","Phosphosphingolipids","SM",138173078,138173078,NA,"only_direct","","","","","","RM0163288"
"SM d36:0 Isomer A","darkgrey","2.32_733.61","JCELSEVNSMXGKA-IOLBBIBUSA-N","[M+H]+",733.6142,2.324,"ESI pos","C41H85N2O6P","Sphingolipids","Phosphosphingolipids","SM",44260130,44260130,NA,"only_direct","","","","","","RM0134098"
"SM d36:1","darkgrey","2.32_731.61_2.32_753.59","LKQLRGMMMAHREN-YJFXYUILSA-N","[M+H]+_[M+Na]+",NA,2.3195,"ESI pos","C41H83N2O6P","Sphingolipids","Phosphosphingolipids","SM",6453725,6453725,NA,"only_direct","","","","","","RM0134099"
"SM d36:2","darkgrey","2.10_729.59_2.10_751.57","NBEADXWAAWCCDG-QDDWGVBQSA-N","[M+H]+_[M+Na]+",NA,2.0975,"ESI pos","C41H81N2O6P","Sphingolipids","Phosphosphingolipids","SM",6443882,6443882,NA,"only_direct","","","","","","RM0134100"
"SM d38:2","darkgrey","2.34_757.62","MDRFMTLYKHBJTF-NQYLGBTJSA-N","[M+H]+",757.6219,2.343,"ESI pos","C43H85N2O6P","Sphingolipids","Phosphosphingolipids","SM",52931179,52931179,NA,"only_direct","","","","","","RM0059717"
"acylcarnitine 16:0","darkmagenta","0.70_400.34","XOMRRQXKHMYMOC-OAQYLSRUSA-N","[M]+",400.3425,0.704,"ESI pos","C23H45NO4","Fatty Acyls","Fatty esters","Acyl carnitines",11953816,11953816,11953816,"agree","17490","HMDB0000222","LMFA07070004","C02990","XOMRRQXKHMYMOC-OAQYLSRUSA-N","RM0153848"
"acylcarnitine 18:0 Isomer A","darkmagenta","1.04_428.37","FNPHNLNTJNMAEE-HSZRJFAPSA-N","[M]+",428.3736,1.041,"ESI pos","C25H49NO4","Fatty Acyls","Fatty esters","Acyl carnitines",52922056,52922056,52922056,"agree","84644","HMDB0000848","LMFA07070008","","FNPHNLNTJNMAEE-HSZRJFAPSA-N","RM0153850"
"acylcarnitine 18:1","darkmagenta","0.77_426.36","HITOYGLMAFIRNI-YSESTWPTSA-N","[M]+",426.3583,0.765,"ESI pos","C25H47NO4","Fatty Acyls","Fatty esters","Acyl carnitines",53477830,53477830,NA,"only_direct","","","","","","RM0153915"
"acylcarnitine 18:2 Isomer A","darkmagenta","0.57_424.34","MJLXQSQYKZWZCB-DQFWFXSYSA-N","[M]+",424.342,0.575,"ESI pos","C25H45NO4","Fatty Acyls","Fatty esters","Acyl carnitines",6450015,6450015,NA,"only_direct","","","","","","RM0154158"
"acylcarnitine 20:1","darkmagenta","1.09_454.39","PVOQPLSKYNZHOT-SEYXRHQNSA-N","[M]+",454.3884,1.088,"ESI pos","C27H51NO4","Fatty Acyls","Fatty esters","Acyl carnitines",71464507,71464507,NA,"only_direct","","","","","","RM0154154"
"Cer 18:0;2O/24:0","darkolivegreen","3.35_652.66","BPLYVSYSBPLDOA-UHFFFAOYSA-N","[M+H]+",652.6596,3.349,"ESI pos","C42H85NO3","Sphingolipids","Ceramides","DHCer",5017602,5017602,5283577,"disagree","52961","HMDB0011768","LMSP02020012","","BPLYVSYSBPLDOA-WVILEFPPSA-N","RM0160764"
"Cer d40:0","darkolivegreen","3.21_658.59","SXPRAKSDHOEHIG-ZESVVUHVSA-N","[M+Cl]-",658.59,3.207,"ESI neg","C40H81NO3","Sphingolipids","Ceramides","DHCer",5283575,5283575,NA,"only_direct","","","","","","RM0122663"
"Cer d42:0","darkolivegreen","3.41_686.62_3.41_710.67","BPLYVSYSBPLDOA-WVILEFPPSA-N","[M+Cl]-_[M+Hac-H]-",NA,3.4125,"ESI neg","C42H85NO3","Sphingolipids","Ceramides","DHCer",5283577,5283577,NA,"only_direct","","","","","","RM0134167"
"Cer-NDS d40:0","darkolivegreen","3.14_624.63","SXPRAKSDHOEHIG-UHFFFAOYSA-N","[M+H]+",624.6289,3.137,"ESI pos","C40H81NO3","Sphingolipids","Ceramides","DHCer",9895360,9895360,NA,"only_direct","","","","","","RM0122663"
